[2024-05-15 14:00:12,652: INFO: main: welcome to our custom log]
[2024-05-15 16:22:10,438: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 16:22:10,445: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 16:23:15,659: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 16:23:15,662: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 16:24:25,171: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 16:24:25,172: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 16:27:34,186: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 16:27:34,190: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 16:29:30,876: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 16:29:30,881: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 16:29:30,884: INFO: common: created directory at: artifacts]
[2024-05-15 16:29:30,884: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-15 16:29:30,884: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 16:29:43,079: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 17:19:50,258: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-15 17:19:50,258: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-15 17:19:50,258: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-15 17:19:50,258: INFO: common: created directory at: artifacts]
[2024-05-15 17:19:50,273: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-15 17:19:50,273: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 17:20:04,367: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-15 17:20:05,383: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
